OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
1,003-0058,1139-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
2,003-0065,0900-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
3,001-0007,0306-000,Arbri soleil,Le Plateau-Mont-Royal,Plein air
4,003-0053,0664-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
5,073-0003,2812-000,Soccer à 11,Saint-Laurent,Sportif
6,003-0046,0307-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
7,075-0080,0922-000,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
8,001-0025,0976-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
9,075-0079,0922-000,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
10,001-0026,0967-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
11,001-0027,0961-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
12,042-0149,0961-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
13,049-0030,0699-000,Pastille - Basketball,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
14,072-0033,0699-000,Anneau / Rond de glace,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
15,065-0017,0970-000,Patinoire 4 saisons,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
16,003-0510,0714-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
17,032-0012,0704-000,Fer / Galet,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
18,001-0028,0916-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
19,073-0029-76-S1,0950-001,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
20,073-0029-76-S2,0950-001,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
21,073-0057-76-S1,0157-000,Soccer sous-terrain à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
22,042-0148,0976-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
23,003-0429,1860-014,Aire de jeu 18 mois à 5 ans,Montréal-Nord,Aire de jeu - enfant
24,042-0150,0904-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
25,003-0511,,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
26,012-0022,0282-000,Aire d'entraînement pour adultes,Le Sud-Ouest,Loisirs et détente
27,004-0065,0023-000,Aire de jeu  5 à 12 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
28,081-0064,2456-000,Tennis,LaSalle,Sportif
29,042-0152,0986-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
30,012-0061,0705-000,Aire d'entraînement pour adultes,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
31,013-0050,0971-000,Aire d'exercice canin,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
32,012-0060,1262-000,Aire d'entraînement pour adultes,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
33,012-0062,0984-000,Aire d'entraînement pour adultes,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
34,020-0024,0984-000,Belvédère,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
35,062-0005,0978-000,Plancher de danse,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
36,012-0063,0995-000,Aire d'entraînement pour adultes,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
37,001-0029,0995-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
38,095-0104,2858-000,Pétanque,Saint-Léonard,Loisirs et détente
39,095-0102,0343-000,Pétanque,Le Sud-Ouest,Loisirs et détente
40,095-0106,0252-000,Pétanque,Ville-Marie,Loisirs et détente
41,062-0004,0679-000,Plancher de danse,Rosemont-La Petite-Patrie,Loisirs et détente
42,095-0103,0345-000,Pétanque,Le Sud-Ouest,Loisirs et détente
43,076-0157,0969-000,Soccer à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
44,075-0083,0969-000,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
45,075-0082,1083-000,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
46,075-0081,1083-000,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
47,053-0078,1122-000,Patinoire sans bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
48,042-0151,0866-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
49,042-0153,0986-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
50,056-0014,9502-000,Piste cyclable,L'Île-Bizard-Sainte-Geneviève,Plein air
51,073-0012-76-S1,0459-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
52,095-0107,0061-000,Pétanque,Le Plateau-Mont-Royal,Loisirs et détente
53,002-0007,2826-000,Aire de glissade,Saint-Laurent,Loisirs et détente
54,053-0090,1140-000,Patinoire sans bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
55,009-0060,0942-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
56,042-0154,0942-000,Jeux d'eau,Villeray-Saint-Michel-Parc-Extension,Récréatif
57,003-0165,0942-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
58,009-0059,0942-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
59,009-0061,0947-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
60,032-0020,2010-000,Fer / Galet,Anjou,Loisirs et détente
61,003-0305,2924-000,Aire de jeu 18 mois à 5 ans,Verdun,Aire de jeu - enfant
62,053-0013,0015-000,Patinoire sans bandes,Ahuntsic-Cartierville,Récréatif
63,012-0064,0942-000,Aire d'entraînement pour adultes,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
64,073-0104-76-S2,1267-000,Soccer sous-terrain à 7,Anjou,Sportif
65,073-0001-76-S2,2826-000,Soccer sous-terrain à 7,Saint-Laurent,Sportif
66,073-0009-76-S1,0236-000,Soccer sous-terrain à 7,Le Plateau-Mont-Royal,Sportif
67,073-0012-76-S2,0459-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
68,073-0013-76-S1,0025-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
69,073-0009-76-S2,0236-000,Soccer sous-terrain à 7,Le Plateau-Mont-Royal,Sportif
70,073-0011-76-S1,0412-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
71,073-0011-76-S2,0412-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
72,073-0017-76-S1,0006-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
73,004-0455,0947-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
74,073-0017-76-S2,0006-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
75,073-0027-76-S2,0126-000,Soccer sous-terrain à 7,Rosemont-La Petite-Patrie,Sportif
76,073-0030-76-S2,0401-000,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
77,073-0035-76-S1,0950-440,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
78,073-0037-76-S1,2601-000,Soccer sous-terrain à 7,Outremont,Sportif
79,073-0038-76-S1,0270-000,Soccer sous-terrain à 7,Ville-Marie,Sportif
80,073-0038-76-S2,0270-000,Soccer sous-terrain à 7,Ville-Marie,Sportif
81,073-0046-76-S1,2675-000,Soccer sous-terrain à 7,Pierrefonds-Roxboro,Sportif
82,073-0050-76-S1,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
83,073-0050-76-S2,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
84,073-0051-76-S1,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
85,073-0055-76-S1,0156-000,Soccer sous-terrain à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
86,073-0062-76-S1,2891-000,Soccer sous-terrain à 7,Verdun,Sportif
87,073-0063-76-S2,2891-000,Soccer sous-terrain à 7,Verdun,Sportif
88,073-0064-76-S1,2895-000,Soccer sous-terrain à 7,Verdun,Sportif
89,073-0077-76-S2,1192-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
90,073-0079-76-S2, ,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
91,073-0080-76-S1, ,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
92,073-0080-76-S2, ,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
93,073-0086-76-S1,2564-000,Soccer sous-terrain à 7,Montréal-Nord,Sportif
94,073-0086-76-S2,2564-000,Soccer sous-terrain à 7,Montréal-Nord,Sportif
95,073-0094-76-S1,0076-000,Soccer sous-terrain à 7,Mercier-Hochelaga-Maisonneuve,Sportif
96,073-0094-76-S2,0076-000,Soccer sous-terrain à 7,Mercier-Hochelaga-Maisonneuve,Sportif
97,018-0055,2601-000,Basketball,Outremont,Récréatif
98,073-0024-75-S2, ,Soccer sous-terrain à 4-5,Lachine,Sportif
99,073-0024-75-S3, ,Soccer sous-terrain à 4-5,Lachine,Sportif
100,076-0141-75-S1,2009-000,Soccer sous-terrain à 4-5,Anjou,Sportif
101,074-0002-76-S2, ,Soccer sous-terrain à 7,Saint-Laurent,Sportif
102,074-0005-76-S2,1860-012,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
103,074-0006-76-S2, ,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
104,074-0007-76-S1,0424-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
105,074-0009-76-S1,0409-000,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
106,074-0009-76-S2,0409-000,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
107,074-0010-76-S2,2612-000,Soccer sous-terrain à 7,Outremont,Sportif
108,074-0014-76-S1,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
109,074-0014-76-S2,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
110,074-0016-76-S1,1860-024,Soccer sous-terrain à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
111,074-0025-76-S1,1083-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
112,074-0026-76-S1,0980-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
113,074-0026-76-S2,0980-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
114,074-0030-76-S2,2850-000,Soccer sous-terrain à 7,Saint-Léonard,Sportif
115,054-0023,,Ping-pong,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
116,077-0004-75-S1,0158-000,Soccer sous-terrain à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
117,077-0004-75-S2,0158-000,Soccer sous-terrain à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
118,076-0160,2812-000,Soccer à 7,Saint-Laurent,Sportif
119,018-0005,2798-000,Basketball,Saint-Laurent,Récréatif
120,042-0002,2795-000,Jeux d'eau,Saint-Laurent,Récréatif
121,042-0155,2557-000,Jeux d'eau,Montréal-Nord,Récréatif
122,042-0145,1028-000,Jeux d'eau,Ville-Marie,Récréatif
123,042-0104,0363-000,Jeux d'eau,Le Sud-Ouest,Récréatif
124,075-0074,2852-000,Soccer à 4-5,Saint-Léonard,Sportif
125,075-0077,2852-000,Soccer à 4-5,Saint-Léonard,Sportif
126,075-0075,2852-000,Soccer à 4-5,Saint-Léonard,Sportif
127,003-0009,2800-000,Aire de jeu 18 mois à 5 ans,Saint-Laurent,Aire de jeu - enfant
128,004-0008,2800-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
129,003-0512,3816-000,Aire de jeu 18 mois à 5 ans,Saint-Laurent,Aire de jeu - enfant
130,042-0158,0225-000,Jeux d'eau,Ville-Marie,Récréatif
131,037-0009,2893-000,Grève / Plage,Verdum,Plein air
132,063-0019,0225-000,Quai,Ville-Marie,Plein air
133,055-0039,2893-000,Piscine extérieure,Verdun,Récréatif
134,073-0014,0024-000,Soccer à 11,Ahuntsic-Cartierville,Sportif
135,003-0124,0878-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
136,095-0108,0363-000,Pétanque,Le Sud-Ouest,Loisirs et détente
137,076-0018-75-S2,0012-000,Soccer sous-terrain à 4-5,Ahuntsic-Cartierville,Sportif
138,042-0157,2398-000,Jeux d'eau,Lachine,Récréatif
139,100-0001,0225-000,Sentier multifonctionnel,Ville-Marie,Plein air
140,004-0456,3816-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
141,067-0018,0225-000,Scène,Ville-Marie,Loisirs et détente
142,003-0119,0205-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
143,002-0035,0225-000,Aire de glissade,Ville-Marie,Loisirs et détente
144,073-0052-76-S2,0146-000,Soccer sous-terrain à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
145,020-0025,1810-200,Belvédère,Côte-des-Neiges-Notre-Dame-de-Grâce,Loisirs et détente
146,020-0026,1810-200,Belvédère,Côte-des-Neiges-Notre-Dame-de-Grâce,Loisirs et détente
147,100-0002,0225-000,Sentier multifonctionnel,Ville-Marie,Plein air
148,073-0052-76-S1,0146-000,Soccer sous-terrain à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
149,004-0354,1074-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
150,003-0125,1173-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
151,003-0282,0137-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
152,100-0003,0950-000,Sentier multifonctionnel,Villeray-Saint-Michel-Parc-Extension,Plein air
153,076-0158,0146-000,Soccer à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
154,037-0005,9503-000,Grève / Plage,Pierrefonds-Roxboro,Plein air
155,024-0002,9503-000,Canöe / Kayak,Pierrefonds-Roxboro,Plein air
156,020-0027,1215-000,Belvédère,LaSalle,Loisirs et détente
157,101-0001,2401-000,Arboretum,Lachine,Loisirs et détente
158,009-0062,2401-000,Aire de pique-nique,Lachine,Plein air
159,081-0103,2556-000,Tennis,Montréal-Nord,Sportif
160,042-0159,2550-000,Jeux d'eau,Montréal-Nord,Récréatif
161,095-0109,2555-000,Pétanque,Montréal-Nord,Loisirs et détente
162,003-0513,,Aire de jeu 18 mois à 5 ans,Lachine,Aire de jeu - enfant
163,004-0457,,Aire de jeu  5 à 12 ans,Lachine,Aire de jeu - enfant
164,056-0018,2401-000,Piste cyclable,Lachine,Plein air
165,070-0033,2401-000,Sentier de ski de fond,Lachine,Plein air
166,001-0030,1215-000,Arbri soleil,LaSalle,Plein air
167,042-0144,0172-000,Jeux d'eau,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
168,050-0068,2564-000,Pataugeoire,Montréal-Nord,Récréatif
169,005-0014,2660-000,Aire de jeu combiné,Pierrefonds-Roxboro,Aire de jeu - enfant
170,003-0279,0157-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
171,075-0049,0157-000,Soccer à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
172,075-0050,0157-000,Soccer à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
173,073-0057,0157-000,Soccer à 11,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
174,073-0057-77-S2,0157-000,Soccer sous-terrain à 9,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
175,075-0084,0179-000,Soccer à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
176,075-0086,0179-000,Soccer à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
177,075-0085,0179-000,Soccer à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
178,066-0002,0206-000,Rugby / Soccer à 11,Rosemont-La Petite-Patrie,Sportif
179,081-0104,0161-000,Tennis,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
180,049-0031, ,Pastille - Basketball,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
181,018-0048,0940-000,Basketball,Villeray-Saint-Michel-Parc-Extension,Récréatif
182,073-0051-76-S2,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
183,042-0160,0140-000,Jeux d'eau,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
184,009-0063,0145-000,Aire de pique-nique,Côte-des-Neiges-Notre-Dame-de-Grâce,Plein air
185,071-0064,0513-000,Sentier pédestre,Côte-des-Neiges-Notre-Dame-de-Grâce,Plein air
186,089-0063,0146-000,Volleyball de plage,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
187,018-0143,0146-000,Basketball,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
188,009-0064,0146-000,Aire de pique-nique,Côte-des-Neiges-Notre-Dame-de-Grâce,Plein air
189,089-0064,0138-000,Volleyball de plage,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
190,053-0091,0138-000,Patinoire sans bandes,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
191,073-0110,2826-000,Soccer à 11,Saint-Laurent,Sportif
192,075-0087,2812-000,Soccer à 4-5,Saint-Laurent,Sportif
193,075-0088,2812-000,Soccer à 4-5,Saint-Laurent,Sportif
194,064-0013,0704-000,Rampe de mise à l'eau / descente de bateaux,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
195,075-0089,2812-000,Soccer à 4-5,Saint-Laurent,Sportif
196,075-0090,2812-000,Soccer à 4-5,Saint-Laurent,Sportif
197,075-0091,2812-000,Soccer à 4-5,Saint-Laurent,Sportif
198,075-0092,2812-000,Soccer à 4-5,Saint-Laurent,Sportif
199,001-0031,2812-000,Arbri soleil,Saint-Laurent,Plein air
200,004-0458,2831-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
201,001-0032,2796-000,Arbri soleil,Saint-Laurent,Plein air
202,067-0019,2796-000,Scène,Saint-Laurent,Loisirs et détente
203,071-0065,2796-000,Sentier pédestre,Saint-Laurent,Plein air
204,005-0042,2796-000,Aire de jeu combiné,Saint-Laurent,Aire de jeu - enfant
205,097-0003,0355-000,Fontaine,Ville-Marie,Loisirs et détente
206,097-0002,1269-000,Fontaine,Ville-Marie,Loisirs et détente
207,097-0004,2796-000,Fontaine,Saint-Laurent,Loisirs et détente
208,003-0284,0170-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
209,003-0121,0212-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
210,002-0012,2396-000,Aire de glissade,Lachine,Loisirs et détente
211,031-0018,2800-000,Étang / lac,Saint-Laurent,Plein air
212,031-0019,2805-000,Étang / lac,Saint-Laurent,Plein air
213,009-0065,0341-000,Aire de pique-nique,Le Sud-Ouest,Plein air
214,009-0066,0341-000,Aire de pique-nique,Le Sud-Ouest,Plein air
215,009-0067,0341-000,Aire de pique-nique,Le Sud-Ouest,Plein air
216,009-0068,0950-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
217,020-0028,0950-000,Belvédère,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
218,001-0033,0950-000,Arbri soleil,Villeray-Saint-Michel-Parc-Extension,Plein air
219,020-0029,0950-000,Belvédère,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
220,009-0069,0950-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
221,020-0030,0950-000,Belvédère,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
222,070-0017,0950-000,Sentier de ski de fond,Villeray-Saint-Michel-Parc-Extension,Plein air
223,004-0319,0316-000,Aire de jeu  5 à 12 ans,Le Sud-Ouest,Aire de jeu - enfant
224,003-0233,2687-000,Aire de jeu 18 mois à 5 ans,Saint-Laurent,Aire de jeu - enfant
225,020-0031,0950-000,Belvédère,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
226,020-0032,0950-000,Belvédère,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
227,003-0514,0341-000,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
228,009-0070,0947-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
229,042-0161,0947-000,Jeux d'eau,Villeray-Saint-Michel-Parc-Extension,Récréatif
230,003-0515,0947-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
231,102-0001,1083-000,Piste d'athlétisme (100m) et équipements,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
232,075-0095,1648-286,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
233,075-0096,1648-286,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
234,003-0494,2014-000,Aire de jeu 18 mois à 5 ans,Anjou,Aire de jeu - enfant
235,073-0051,2348-000,Soccer à 11,L'Île-Bizard-Sainte-Geneviève,Sportif
236,053-0092,0692-000,Patinoire sans bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
237,001-0034,,Arbri soleil,Mercier-Hochelaga-Maisonneuve,Plein air
238,001-0035,0121-000,Arbri soleil,Mercier-Hochelaga-Maisonneuve,Plein air
239,100-0005,0121-000,Sentier multifonctionnel,Mercier-Hochelaga-Maisonneuve,Plein air
240,009-0071,0121-000,Aire de pique-nique,Mercier-Hochelaga-Maisonneuve,Plein air
241,074-0021-76-S1,2913-000,Soccer sous-terrain à 7,Verdun,Sportif
242,067-0020,1215-000,Scène,LaSalle,Loisirs et détente
243,081-0102,2859-000,Tennis,Saint-Léonard,Sportif
244,003-0281,0138-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
245,056-0019,1215-000,Piste cyclable,LaSalle,Plein air
246,020-0034,1215-000,Belvédère,LaSalle,Loisirs et détente
247,063-0020,1215-000,Quai,LaSalle,Plein air
248,001-0036,1215-000,Arbri soleil,LaSalle,Plein air
249,073-0084-76-S1,0971-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
250,073-0084-76-S2,0971-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
251,003-0516,0238-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
252,009-0072,0238-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
253,042-0162,1071-000,Jeux d'eau,Villeray-Saint-Michel-Parc-Extension,Récréatif
254,009-0073,1071-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
255,074-0024-76-S1,,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
256,074-0024-76-S2,,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
257,067-0015,2009-000,Scène,Anjou,Loisirs et détente
258,018-0049,0952-000,Basketball,Villeray-Saint-Michel-Parc-Extension,Récréatif
259,053-0093,0952-000,Patinoire sans bandes,Villeray-Saint-Michel-Parc-Extension,Récréatif
260,009-0074,0219-000,Aire de pique-nique,Rosemont-La Petite-Patrie,Plein air
261,009-0075,0219-000,Aire de pique-nique,Rosemont-La Petite-Patrie,Plein air
262,065-0015,0345-000,Patinoire 4 saisons,Le Sud-Ouest,Récréatif
263,004-0171,0566-000,Aire de jeu  5 à 12 ans,Ville-Marie,Aire de jeu - enfant
264,003-0517,,Aire de jeu 18 mois à 5 ans,Ville-Marie,Aire de jeu - enfant
265,004-0462,,Aire de jeu  5 à 12 ans,Ville-Marie,Aire de jeu - enfant
266,012-0065,,Aire d'entraînement pour adultes,Ville-Marie,Loisirs et détente
267,054-0024,,Ping-pong,Ville-Marie,Loisirs et détente
268,089-0065,,Volleyball de plage,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
269,003-0518,1029-000,Aire de jeu 18 mois à 5 ans,Ville-Marie,Aire de jeu - enfant
270,012-0066,,Aire d'entraînement pour adultes,Ville-Marie,Loisirs et détente
271,054-0025,0401-000,Ping-pong,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
272,009-0076,0401-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
273,053-0094,0401-000,Patinoire sans bandes,Villeray-Saint-Michel-Parc-Extension,Récréatif
274,042-0163,0302-000,Jeux d'eau,Villeray-Saint-Michel-Parc-Extension,Récréatif
275,075-0097,0950-001,Soccer à 4-5,Villeray-Saint-Michel-Parc-Extension,Sportif
276,076-0076,2895-000,Soccer à 7,Verdun,Sportif
277,071-0036,2723-000,Sentier pédestre,Pierrefonds-Roxboro,Plein air
278,073-0081-76-S1,0964-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
279,073-0081-76-S2,0964-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
280,073-0081,0964-000,Soccer à 11,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
281,065-0018,0058-000,Patinoire 4 saisons,Mercier-Hochelaga-Maisonneuve,Récréatif
282,042-0164,0186-000,Jeux d'eau,Mercier-Hochelaga-Maisonneuve,Récréatif
283,042-0165,0058-000,Jeux d'eau,Mercier-Hochelaga-Maisonneuve,Récréatif
284,009-0077,0058-000,Aire de pique-nique,Mercier-Hochelaga-Maisonneuve,Plein air
285,009-0078,0780-000,Aire de pique-nique,Mercier-Hochelaga-Maisonneuve,Plein air
286,003-0156,0943-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
287,012-0025,0703-000,Aire d'entraînement pour adultes,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
288,003-0480,1266-000,Aire de jeu 18 mois à 5 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
289,003-0247,2347-000,Aire de jeu 18 mois à 5 ans,L'Île-Bizard-Sainte-Geneviève,Aire de jeu - enfant
290,016-0082,2700-004,Balle,Pierrefonds-Roxboro,Sportif
291,013-0044,2010-000,Aire d'exercice canin,Anjou,Loisirs et détente
292,004-0303,2467-000,Aire de jeu  5 à 12 ans,LaSalle,Aire de jeu - enfant
