OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
2090,004-0280,2448-000,Aire de jeu  5 à 12 ans,LaSalle,Aire de jeu - enfant
2091,070-0016,0401-000,Sentier de ski de fond,Villeray-Saint-Michel-Parc-Extension,Plein air
2092,058-0018, ,Piste d'athlétisme (400m) et équipements,Montréal-Nord,Sportif
2093,065-0012,1860-013,Patinoire 4 saisons,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
2094,089-0003,2807-000,Volleyball de plage,Saint-Laurent,Récréatif
2095,003-0377,0376-000,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
2096,003-0080,0425-000,Aire de jeu 18 mois à 5 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
2097,004-0291,2475-001,Aire de jeu  5 à 12 ans,LaSalle,Aire de jeu - enfant
2098,004-0310,0348-000,Aire de jeu  5 à 12 ans,Le Sud-Ouest,Aire de jeu - enfant
2099,072-0004,2808-000,Anneau / Rond de glace,Saint-Laurent,Loisirs et détente
2100,071-0014,0034-000,Sentier pédestre,Ahuntsic-Cartierville,Plein air
2101,005-0040,2871-014,Aire de jeu combiné,Saint-Léonard,Aire de jeu - enfant
2102,012-0030, ,Aire d'entraînement pour adultes,Montréal-Nord,Loisirs et détente
2103,095-0098,2010-000,Pétanque,Anjou,Loisirs et détente
2104,095-0031,0220-000,Pétanque,Rosemont-La Petite-Patrie,Loisirs et détente
2105,035-0001,0341-000,Fort,Le Sud-Ouest,Loisirs et détente
2106,004-0016,2808-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
2107,071-0059,1225-000,Sentier pédestre,Mercier-Hochelaga-Maisonneuve,Plein air
2108,042-0077,2903-000,Jeux d'eau,Verdun,Récréatif
2109,003-0257,2350-000,Aire de jeu 18 mois à 5 ans,L'Île-Bizard-Sainte-Geneviève,Aire de jeu - enfant
2110,003-0177,2618-000,Aire de jeu 18 mois à 5 ans,Outremont,Aire de jeu - enfant
2111,012-0042,0424-000,Aire d'entraînement pour adultes,Ahuntsic-Cartierville,Loisirs et détente
2112,052-0061,0909-000,Patinoire avec bandes,Ville-Marie,Récréatif
2113,018-0036,1131-000,Basketball,Rosemont-La Petite-Patrie,Récréatif
2114,004-0082,0413-000,Aire de jeu  5 à 12 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
